"filename", "language", "JSON with Comments", "sqlite3-editor-database", "JavaScript", "JSON", "TypeScript", "Markdown", "Log", "Docker", "TypeScript JSX", "XML", "SCSS", "CSS", "comment", "blank", "total"
"c:\projects\r2h\r2h_project_3day_challenge\.next\static\webpack\043805252b7022f2.webpack.hot-update.json", "JSON", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\projects\r2h\r2h_project_3day_challenge\.next\static\webpack\05e1375f44bb6842.webpack.hot-update.json", "JSON", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\projects\r2h\r2h_project_3day_challenge\.next\static\webpack\06086b6a440a5639.webpack.hot-update.json", "JSON", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\projects\r2h\r2h_project_3day_challenge\.next\static\webpack\070ae4a2cfe1b1bc.webpack.hot-update.json", "JSON", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\projects\r2h\r2h_project_3day_challenge\.next\static\webpack\07102ca4f8a2d94f.webpack.hot-update.json", "JSON", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\projects\r2h\r2h_project_3day_challenge\.next\static\webpack\08def2f14b3efef0.webpack.hot-update.json", "JSON", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\projects\r2h\r2h_project_3day_challenge\.next\static\webpack\099028b324a2e314.webpack.hot-update.json", "JSON", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\projects\r2h\r2h_project_3day_challenge\.next\static\webpack\0b0248b9376bc4ca.webpack.hot-update.json", "JSON", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\projects\r2h\r2h_project_3day_challenge\.next\static\webpack\0c089b2e388c75cd.webpack.hot-update.json", "JSON", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\projects\r2h\r2h_project_3day_challenge\.next\static\webpack\0d3c3fad161b0e95.webpack.hot-update.json", "JSON", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\projects\r2h\r2h_project_3day_challenge\.next\static\webpack\10c9379971e812c9.webpack.hot-update.json", "JSON", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\projects\r2h\r2h_project_3day_challenge\.next\static\webpack\119df899162404a8.webpack.hot-update.json", "JSON", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\projects\r2h\r2h_project_3day_challenge\.next\static\webpack\12e6cbfb8dd5aa65.webpack.hot-update.json", "JSON", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\projects\r2h\r2h_project_3day_challenge\.next\static\webpack\15a7b2355f0a62c8.webpack.hot-update.json", "JSON", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\projects\r2h\r2h_project_3day_challenge\.next\static\webpack\16481098d89583ea.webpack.hot-update.json", "JSON", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\projects\r2h\r2h_project_3day_challenge\.next\static\webpack\17965bb587e2a91f.webpack.hot-update.json", "JSON", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\projects\r2h\r2h_project_3day_challenge\.next\static\webpack\1990ee64eb0f7f7c.webpack.hot-update.json", "JSON", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\projects\r2h\r2h_project_3day_challenge\.next\static\webpack\1f8c34d05b5e05ef.webpack.hot-update.json", "JSON", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\projects\r2h\r2h_project_3day_challenge\.next\static\webpack\228353588adb39f7.webpack.hot-update.json", "JSON", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\projects\r2h\r2h_project_3day_challenge\.next\static\webpack\253e1a4d7aad8045.webpack.hot-update.json", "JSON", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\projects\r2h\r2h_project_3day_challenge\.next\static\webpack\27abc2c6650d0b2f.webpack.hot-update.json", "JSON", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\projects\r2h\r2h_project_3day_challenge\.next\static\webpack\2a4b3876aa362ae5.webpack.hot-update.json", "JSON", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\projects\r2h\r2h_project_3day_challenge\.next\static\webpack\3024dcd3b58930b9.webpack.hot-update.json", "JSON", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\projects\r2h\r2h_project_3day_challenge\.next\static\webpack\3333ee120392b557.webpack.hot-update.json", "JSON", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\projects\r2h\r2h_project_3day_challenge\.next\static\webpack\37dd01c2dfa0c191.webpack.hot-update.json", "JSON", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\projects\r2h\r2h_project_3day_challenge\.next\static\webpack\3d3422f4890ea203.webpack.hot-update.json", "JSON", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\projects\r2h\r2h_project_3day_challenge\.next\static\webpack\3d60afcb058f0702.webpack.hot-update.json", "JSON", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\projects\r2h\r2h_project_3day_challenge\.next\static\webpack\3eea56f2a3a5065d.webpack.hot-update.json", "JSON", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\projects\r2h\r2h_project_3day_challenge\.next\static\webpack\453b28e32942d385.webpack.hot-update.json", "JSON", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\projects\r2h\r2h_project_3day_challenge\.next\static\webpack\471938e4ac065eb6.webpack.hot-update.json", "JSON", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\projects\r2h\r2h_project_3day_challenge\.next\static\webpack\49f80a944152173d.webpack.hot-update.json", "JSON", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\projects\r2h\r2h_project_3day_challenge\.next\static\webpack\4a5a58c8ba70a950.webpack.hot-update.json", "JSON", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\projects\r2h\r2h_project_3day_challenge\.next\static\webpack\4aafc8f1654e1a54.webpack.hot-update.json", "JSON", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\projects\r2h\r2h_project_3day_challenge\.next\static\webpack\4c20136caf4a48e4.webpack.hot-update.json", "JSON", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
